Date,Card,Card Name
January 19,8♦,Eight of Diamonds
February 17,8♦,Eight of Diamonds
March 15,8♦,Eight of Diamonds
April 13,8♦,Eight of Diamonds
May 11,8♦,Eight of Diamonds
June 9,8♦,Eight of Diamonds
July 7,8♦,Eight of Diamonds
August 5,8♦,Eight of Diamonds
September 3,8♦,Eight of Diamonds
October 1,8♦,Eight of Diamonds
January 6,8♠,Eight of Spades
February 4,8♠,Eight of Spades
March 2,8♠,Eight of Spades
August 30,9♥,Nine of Hearts
September 28,9♥,Nine of Hearts
October 26,9♥,Nine of Hearts
November 24,9♥,Nine of Hearts
December 22,9♥,Nine of Hearts
January 31,9♣,Nine of Clubs
February 29,9♣,Nine of Clubs
March 27,9♣,Nine of Clubs
April 25,9♣,Nine of Clubs
May 23,9♣,Nine of Clubs
June 21,9♣,Nine of Clubs
July 19,9♣,Nine of Clubs
August 17,9♣,Nine of Clubs
September 15,9♣,Nine of Clubs
October 13,9♣,Nine of Clubs
November 11,9♣,Nine of Clubs
December 9,9♣,Nine of Clubs
January 18,9♦,Nine of Diamonds
February 16,9♦,Nine of Diamonds
March 14,9♦,Nine of Diamonds
April 12,9♦,Nine of Diamonds
May 10,9♦,Nine of Diamonds
June 8,9♦,Nine of Diamonds
July 6,9♦,Nine of Diamonds
August 4,9♦,Nine of Diamonds
September 2,9♦,Nine of Diamonds
January 5,9♠,Nine of Spades
February 3,9♠,Nine of Spades
March 1,9♠,Nine of Spades
July 31,10♥,Ten of Hearts
August 29,10♥,Ten of Hearts
September 27,10♥,Ten of Hearts
October 25,10♥,Ten of Hearts
November 23,10♥,Ten of Hearts
December 21,10♥,Ten of Hearts
January 30,10♣,Ten of Clubs
February 28,10♣,Ten of Clubs
March 26,10♣,Ten of Clubs
April 24,10♣,Ten of Clubs
May 22,10♣,Ten of Clubs
June 20,10♣,Ten of Clubs
July 18,10♣,Ten of Clubs
August 16,10♣,Ten of Clubs
September 14,10♣,Ten of Clubs
October 12,10♣,Ten of Clubs
November 10,10♣,Ten of Clubs
December 8,10♣,Ten of Clubs
January 17,10♦,Ten of Diamonds
February 15,10♦,Ten of Diamonds
March 13,10♦,Ten of Diamonds
April 11,10♦,Ten of Diamonds
May 9,10♦,Ten of Diamonds
June 7,10♦,Ten of Diamonds
July 5,10♦,Ten of Diamonds
August 3,10♦,Ten of Diamonds
September 1,10♦,Ten of Diamonds
January 4,10♠,Ten of Spades
February 2,10♠,Ten of Spades
July 30,J♥,Jack of Hearts
August 28,J♥,Jack of Hearts
September 26,J♥,Jack of Hearts
October 24,J♥,Jack of Hearts
November 22,J♥,Jack of Hearts
December 20,J♥,Jack of Hearts
January 29,J♣,Jack of Clubs
February 27,J♣,Jack of Clubs
March 25,J♣,Jack of Clubs
April 23,J♣,Jack of Clubs
May 21,J♣,Jack of Clubs
June 19,J♣,Jack of Clubs
July 17,J♣,Jack of Clubs
August 15,J♣,Jack of Clubs
September 13,J♣,Jack of Clubs
October 11,J♣,Jack of Clubs
November 9,J♣,Jack of Clubs
December 7,J♣,Jack of Clubs
January 16,J♦,Jack of Diamonds
February 14,J♦,Jack of Diamonds
March 12,J♦,Jack of Diamonds
April 10,J♦,Jack of Diamonds
May 8,J♦,Jack of Diamonds
June 6,J♦,Jack of Diamonds
July 4,J♦,Jack of Diamonds
August 2,J♦,Jack of Diamonds
January 3,J♠,Jack of Spades
February 1,J♠,Jack of Spades
July 29,Q♥,Queen of Hearts
August 27,Q♥,Queen of Hearts
September 25,Q♥,Queen of Hearts
October 23,Q♥,Queen of Hearts
November 21,Q♥,Queen of Hearts
December 19,Q♥,Queen of Hearts
January 28,Q♣,Queen of Clubs
February 26,Q♣,Queen of Clubs
March 24,Q♣,Queen of Clubs
April 22,Q♣,Queen of Clubs
May 20,Q♣,Queen of Clubs
June 18,Q♣,Queen of Clubs
July 16,Q♣,Queen of Clubs
August 14,Q♣,Queen of Clubs
September 12,Q♣,Queen of Clubs
October 10,Q♣,Queen of Clubs
November 8,Q♣,Queen of Clubs
December 6,Q♣,Queen of Clubs
January 15,Q♦,Queen of Diamonds
February 13,Q♦,Queen of Diamonds
March 11,Q♦,Queen of Diamonds
April 9,Q♦,Queen of Diamonds
May 7,Q♦,Queen of Diamonds
June 5,Q♦,Queen of Diamonds
July 3,Q♦,Queen of Diamonds
August 1,Q♦,Queen of Diamonds
January 2,Q♠,Queen of Spades
June 30,K♥,King of Hearts
July 28,K♥,King of Hearts
August 26,K♥,King of Hearts
September 24,K♥,King of Hearts
October 22,K♥,King of Hearts
November 20,K♥,King of Hearts
December 18,K♥,King of Hearts
January 27,K♣,King of Clubs
February 25,K♣,King of Clubs
March 23,K♣,King of Clubs
April 21,K♣,King of Clubs
May 19,K♣,King of Clubs
June 17,K♣,King of Clubs
July 15,K♣,King of Clubs
August 13,K♣,King of Clubs
September 11,K♣,King of Clubs
October 9,K♣,King of Clubs
November 7,K♣,King of Clubs
December 5,K♣,King of Clubs
January 14,K♦,King of Diamonds
February 12,K♦,King of Diamonds
March 10,K♦,King of Diamonds
April 8,K♦,King of Diamonds
May 6,K♦,King of Diamonds
June 4,K♦,King of Diamonds
July 2,K♦,King of Diamonds
January 1,K♠,King of Spades
December 30,🎭,Joker
