Birth Card,AGE,Mercury,Venus,Mars,Jupiter,Saturn ,Uranus,Neptune,LONG RANGE,PLUTO,RESULT,SUPPORT,DEVELOPMENT
2♥,55,Q♥,5♥,8♥,2♣,A♦,2♦,9♥,9♥,3♣,J♥,None,None
2♥,56,Q♣,8♠,2♣,A♠,4♠,10♥,8♣,A♦,3♦,4♦,None,None
2♥,57,6♦,4♣,A♠,9♠,3♥,A♥,9♥,6♠,7♠,J♥,None,None
2♥,58,Q♠,2♦,9♠,K♥,10♠,4♦,8♣,8♥,9♦,5♣,None,None
2♥,59,J♦,3♦,K♥,2♠,10♦,Q♣,9♥,7♠,7♥,J♥,None,None
2♥,60,7♣,A♥,2♠,6♠,9♣,5♣,8♣,7♣,3♣,6♥,None,None
2♥,61,10♥,9♦,6♠,8♦,8♠,Q♠,9♥,3♠,2♣,J♥,None,None
2♥,62,10♣,Q♣,8♠,K♣,3♠,6♥,8♣,8♣,7♠,Q♦,None,None
2♥,63,4♦,3♣,K♣,2♦,J♠,7♣,9♥,10♠,9♠,J♥,None,None
2♥,64,4♥,Q♠,2♦,6♣,J♣,Q♦,8♣,4♦,7♥,5♦,None,None
2♥,65,5♣,7♠,6♣,A♥,4♠,10♣,9♥,7♠,2♠,J♥,None,None
2♥,66,Q♥,7♣,A♥,A♦,5♠,5♦,8♣,A♠,2♣,K♦,None,None
2♥,67,6♥,7♥,A♦,Q♣,10♠,4♥,9♥,2♦,8♠,J♥,None,None
2♥,68,6♦,10♣,Q♣,3♥,5♥,K♦,8♣,6♣,9♠,8♥,None,None
2♥,69,Q♦,2♣,3♥,Q♠,9♣,Q♥,9♥,9♥,2♦,J♥,None,None
2♥,70,J♦,4♥,Q♠,10♦,4♣,8♥,8♣,3♥,2♠,A♠,None,None
2♥,71,5♦,9♠,10♦,7♣,3♠,6♦,9♥,K♣,A♥,J♥,None,None
2♥,72,10♥,Q♥,7♣,8♦,3♦,A♠,8♣,A♠,8♠,K♥,None,None
2♥,73,K♦,2♠,8♦,10♣,J♣,J♦,9♥,7♥,Q♣,J♥,None,None
2♥,74,4♦,6♦,10♣,J♠,9♦,K♥,8♣,10♣,2♦,6♠,None,None
2♥,75,8♥,8♠,J♠,4♥,5♠,10♥,9♥,J♣,Q♠,J♥,None,None
2♥,76,5♣,J♦,4♥,4♠,3♣,6♠,8♣,8♣,A♥,K♣,None,None
2♥,77,A♠,2♦,4♠,Q♥,5♥,4♦,9♥,9♣,7♣,J ♥,None,None
2♥,78,6♥,10♥,Q♥,10♠,7♠,K♣,8♣,5♣,Q♣,6♣,None,None
2♥,79,K♥,A♥,10♠,6♦,4♣,5♣,9♥,7♥,10♣,J♥,None,None
2♥,80,Q♦,4♦,6♦,9♣,7♥,6♣,8♣,K♥,Q♠,A♦,None,None
2♥,81,6♠,Q♣,9♣,J♦,3♦,6♥,9♥,A♥,4♥,J♥,None,None
2♥,82,5♦,5♣,J♦,3♠,2♣,A♦,8♣,A♦,7♣,3♥,None,None
2♥,83,K♣,Q♠,3♠,10♥,9♦,Q♦,9♥,9♥,Q♥,J♥,None,None
2♥,84,K♦,6♥,10♥,J♣,9♠,3♥,8♣,10♦,10♣,10♦,None,None
2♥,85,6♣,7♣,J♣,4♦,3♣,5♦,9♥,6♣,6♦,J♥,None,None
2♥,86,8♥,Q♦,4♦,5♠,2♠,10♦,8♣,K♥,4♥,8♦,None,None
2♥,87,A♦,10♣,5♠,5♣,7♠,K♦,9♥,2♣,J♦,J♥,None,None
2♥,88,A♠,5♦,5♣,5♥,8♠,8♦,8♣,4♥,Q♥,J♠,None,None
2♥,89,3♥,4♥,5♥,6♥,7♥,8♥,9♥,5♠,10♥,J♥,None,None
2♥,90,K♥,K♦,6♥,4♣,2♦,J♠,8♣,8♣,6♦,4♠,None,None
2♣,0,K♣,J♦,4♥,4♦,2♠,8♥,6♣,K♣,6♠,Q♥,2♣,2♣
2♣,1,A♠,9♥,4♦,J♥,6♦,6♠,A♣,J♦,9♠,7♠,K♥,A♠
2♣,2,7♦,5♥,J♥,3♠,2♠,2♥,6♠,4♥,8♥,Q♦,9♠,7♥
2♣,3,A♥,8♠,3♠,10♠,10♣,K♠,Q♠,4♦,2♥,8♦,6♠,8♥
2♣,4,2♠,A♦,4♦,6♦,6♥,2♦,K♥,2♠,3♥,6♣,2♠,7♠
2♣,5,3♣,5♦,10♦,Q♥,8♣,5♠,6♦,8♥,4♣,10♣,K♣,K♦
2♣,6,5♥,9♥,Q♥,A♠,4♥,4♣,7♥,6♣,9♠,8♠,8♠,3♣
2♣,7,10♠,6♥,A♠,6♠,6♣,Q♣,4♣,A♠,J♣,9♦,6♣,5♦
2♣,8,2♠,2♦,10♦,6♥,10♥,5♦,Q♣,9♥,K♣,8♦,2♦,9♦
2♣,9,K♦,6♠,6♥,7♦,3♠,9♠,9♣,4♦,Q♦,K♥,A♦,Q♦
2♣,10,A♦,2♦,7♦,3♣,J♥,4♣,Q♣,J♥,2♥,3♥,A♥,3♦
2♣,11,A♠,4♠,10♥,8♣,3♦,4♦,3♣,6♦,6♦,J♠,3♥,6♥
2♣,12,4♥,5♠,8♣,Q♦,5♥,K♦,3♠,6♠,10♣,Q♥,Q♣,4♣
2♣,13,6♠,Q♣,3♥,9♥,8♥,J♥,Q♦,A♣,8♦,A♣,10♦,5♣
2♣,14,2♦,3♣,9♥,4♦,6♣,10♥,7♠,7♦,8♠,A♥,Q♠,5♥
2♣,15,4♠,Q♣,Q♥,10♣,9♦,4♣,4♦,5♥,K♠,J♦,8♦,4♦
2♣,16,J♥,3♣,10♣,2♥,J♠,3♥,K♣,J♥,2♠,6♦,7♣,5♠
2♣,17,4♦,9♣,J♣,J♦,2♦,6♠,3♥,3♠,8♥,7♦,J♠,10♥
2♣,18,A♥,Q♠,10♣,9♣,A♠,5♦,6♠,2♠,Q♥,8♦,10♣,J♣
2♣,19,3♣,2♠,9♣,7♣,J♦,Q♥,7♠,2♥,9♦,6♥,4♠,J♦
2♣,20,9♥,Q♦,10♦,6♥,9♠,Q♣,7♣,6♠,4♥,3♠,4♥,3♠
2♣,21,K♦,2♠,6♥,J♣,5♥,4♦,Q♣,A♥,6♣,8♦,10♠,6♦
2♣,22,6♦,2♥,9♣,J♠,3♥,A♥,4♦,8♠,3♣,8♣,Q♥,9♣
2♣,23,7♠,5♦,K♠,6♥,2♥,3♦,A♠,3♠,A♥,10♦,9♣,Q♥
2♣,24,3♥,Q♠,9♣,Q♥,7♦,2♦,J♥,10♠,9♠,J♦,6♦,10♠
2♣,25,A♥,5♠,Q♥,5♣,10♥,9♠,7♥,10♣,K♦,K♠,3♠,4♥
2♣,26,A♦,3♣,5♣,Q♦,3♦,J♠,Q♣,K♠,4♥,8♠,J♦,4♠
2♣,27,8♥,K♠,5♦,2♥,3♣,6♠,Q♠,Q♠,J♠,J♦,J♣,10♣
2♣,28,8♣,6♣,9♠,3♥,7♠,6♥,5♦,2♠,9♦,4♠,10♥,J♠
2♣,29,Q♥,7♥,3♥,10♠,3♠,5♠,6♥,A♦,A♥,2♠,5♠,7♣
2♣,30,K♠,7♠,A♣,8♥,8♠,J♠,4♥,4♦,5♠,10♥,4♦,8♦
2♣,31,10♦,9♣,J♣,5♥,Q♦,Q♣,8♠,6♦,7♣,3♦,5♥,Q♠
2♣,32,5♦,8♥,7♠,9♣,10♣,J♦,Q♣,6♥,9♥,6♠,5♣,10♦
2♣,33,A♦,4♥,9♣,5♣,5♥,9♥,J♠,2♦,J♥,3♥,4♣,Q♣
2♣,34,A♣,K♥,A♥,10♠,6♦,4♣,5♣,K♥,7♦,10♣,6♥,3♥
2♣,35,A♠,J♦,10♠,5♠,8♦,7♦,8♠,3♣,10♥,2♠,3♦,A♥
2♣,36,J♣,Q♥,4♦,7♣,9♥,6♣,5♠,5♦,K♣,10♣,Q♦,A♦
2♣,37,A♦,8♣,7♣,3♥,4♥,K♣,7♥,10♦,9♠,K♥,9♦,2♦
2♣,38,7♠,8♦,3♥,2♦,K♠,2♠,A♣,Q♥,K♣,Q♠,5♦,6♣
2♣,39,2♠,6♠,4♦,3♠,4♣,4♠,7♦,8♣,A♥,5♣,3♣,8♠
2♣,40,10♠,8♦,3♠,A♠,9♦,9♠,7♥,5♠,J♠,10♦,K♦,K♣
2♣,41,5♦,6♠,A♠,10♣,Q♠,3♥,K♠,6♦,6♣,2♥,7♠,2♠
2♣,42,4♠,8♦,Q♣,K♠,2♦,A♣,A♦,5♥,10♣,5♠,8♥,6♠
2♣,43,A♣,A♠,5♦,5♣,5♥,8♠,8♦,9♥,8♣,Q♥,7♥,9♠
2♣,44,3♣,4♣,5♣,6♣,7♣,8♣,9♣,Q♥,10♣,J♣,A♠,K♥
2♣,45,K♣,J♦,4♥,4♦,2♠,8♥,6♣,A♠,6♠,Q♥,2♣,2♣
2♣,46,A♠,7♦,4♦,J♥,6♦,6♠,2♥,4♥,9♠,7♠,K♥,A♠
2♣,47,9♥,5♥,J♥,3♠,2♠,A♣,6♠,4♣,8♥,Q♦,9♠,7♥
2♣,48,A♥,8♠,3♠,10♠,10♣,K♠,Q♠,7♥,A♣,8♦,6♠,8♥
2♣,49,2♠,A♦,4♦,6♦,6♥,2♦,K♥,10♠,3♥,6♣,2♠,7♠
2♣,50,3♣,5♦,10♦,Q♥,8♣,5♠,6♦,6♥,4♣,10♣,K♣,K♦
2♣,51,5♥,7♦,Q♥,A♠,4♥,4♣,7♥,A♠,9♠,8♠,8♠,3♣
2♣,52,10♠,6♥,A♠,6♠,6♣,Q♣,4♣,6♠,J♣,9♦,6♣,5♦
2♣,53,2♠,2♦,10♦,6♥,10♥,5♦,Q♣,6♣,K♣,8♦,2♦,9♦
2♣,54,K♦,6♠,6♥,9♥,3♠,9♠,9♣,Q♣,Q♦,K♥,A♦,Q♦
2♣,55,A♦,2♦,9♥,3♣,J♥,4♣,Q♣,4♣,A♣,3♥,A♥,3♦
2♣,56,A♠,4♠,10♥,8♣,3♦,4♦,3♣,2♠,6♦,J♠,3♥,6♥
2♣,57,4♥,5♠,8♣,Q♦,5♥,K♦,3♠,2♦,10♣,Q♥,Q♣,4♣
2♣,58,6♠,Q♣,3♥,7♦,8♥,J♥,Q♦,10♦,8♦,2♥,10♦,5♣
2♣,59,2♦,3♣,7♦,4♦,6♣,10♥,7♠,6♥,8♠,A♥,Q♠,5♥
2♣,60,4♠,Q♣,Q♥,10♣,9♦,4♣,4♦,10♥,K♠,J♦,8♦,4♦
2♣,61,J♥,3♣,10♣,A♣,J♠,3♥,K♣,5♦,2♠,6♦,7♣,5♠
2♣,62,4♦,9♣,J♣,J♦,2♦,6♠,3♥,Q♣,8♥,9♥,J♠,10♥
2♣,63,A♥,Q♠,10♣,9♣,A♠,5♦,6♠,K♦,Q♥,8♦,10♣,J♣
2♣,64,3♣,2♠,9♣,7♣,J♦,Q♥,7♠,6♠,9♦,6♥,4♠,J♦
2♣,65,7♦,Q♦,10♦,6♥,9♠,Q♣,7♣,6♥,4♥,3♠,4♥,3♠
2♣,66,K♦,2♠,6♥,J♣,5♥,4♦,Q♣,7♦,6♣,8♦,10♠,6♦
2♣,67,6♦,A♣,9♣,J♠,3♥,A♥,4♦,3♠,3♣,8♣,Q♥,9♣
2♣,68,7♠,5♦,K♠,6♥,A♣,3♦,A♠,9♠,A♥,10♦,9♣,Q♥
2♣,69,3♥,Q♠,9♣,Q♥,9♥,2♦,J♥,9♣,9♠,J♦,6♦,10♠
2♣,70,A♥,5♠,Q♥,5♣,10♥,9♠,7♥,A♦,K♦,K♠,3♠,4♥
2♣,71,A♦,3♣,5♣,Q♦,3♦,J♠,Q♣,2♦,4♥,8♠,J♦,4♠
2♣,72,8♥,K♠,5♦,A♣,3♣,6♠,Q♠,7♦,J♠,J♦,J♣,10♣
2♣,73,8♣,6♣,9♠,3♥,7♠,6♥,5♦,3♣,9♦,4♠,10♥,J♠
2♣,74,Q♥,7♥,3♥,10♠,3♠,5♠,6♥,J♥,A♥,2♠,5♠,7♣
2♣,75,K♠,7♠,2♥,8♥,8♠,J♠,4♥,4♣,5♠,10♥,4♦,8♦
2♣,76,10♦,9♣,J♣,5♥,Q♦,Q♣,8♠,Q♣,7♣,3♦,5♥,Q♠
2♣,77,5♦,8♥,7♠,9♣,10♣,J♦,Q♣,A♠,7♦,6♠,5♣,10♦
2♣,78,A♦,4♥,9♣,5♣,5♥,7♦,J♠,4♠,J♥,3♥,4♣,Q♣
2♣,79,2♥,K♥,A♥,10♠,6♦,4♣,5♣,10♥,9♥,10♣,6♥,3♥
2♣,80,A♠,J♦,10♠,5♠,8♦,9♥,8♠,8♣,10♥,2♠,3♦,A♥
2♣,81,J♣,Q♥,4♦,7♣,7♦,6♣,5♠,3♦,K♣,10♣,Q♦,A♦
2♣,82,A♦,8♣,7♣,3♥,4♥,K♣,7♥,4♦,9♠,K♥,9♦,2♦
2♣,83,7♠,8♦,3♥,2♦,K♠,2♠,2♥,3♣,K♣,Q♠,5♦,6♣
2♣,84,2♠,6♠,4♦,3♠,4♣,4♠,9♥,4♥,A♥,5♣,3♣,8♠
2♣,85,10♠,8♦,3♠,A♠,9♦,9♠,7♥,5♠,J♠,10♦,K♦,K♣
2♣,86,5♦,6♠,A♠,10♣,Q♠,3♥,K♠,8♣,6♣,A♣,7♠,2♠
2♣,87,4♠,8♦,Q♣,K♠,2♦,2♥,A♦,Q♦,10♣,5♠,8♥,6♠
2♣,88,2♥,A♠,5♦,5♣,5♥,8♠,8♦,5♥,8♣,Q♥,7♥,9♠
2♣,89,3♣,4♣,5♣,6♣,7♣,8♣,9♣,K♦,10♣,J♣,A♠,K♥
2♣,90,K♣,J♦,4♥,4♦,2♠,8♥,6♣,3♠,6♠,Q♥,2♣,2♣
2♦,0,J♠,8♣,6♦,4♠,10♥,10♦,8♠,J♠,A♥,A♦,2♦,2♦
2♦,1,2♠,9♣,4♠,7♣,K♠,Q♣,2♥,8♣,10♦,Q♥,A♦,6♣
2♦,2,Q♣,3♠,5♦,4♣,7♠,J♣,9♥,6♦,10♣,K♦,A♥,8♠
2♦,3,5♠,9♣,4♣,6♣,2♣,A♥,8♠,4♠,3♠,10♠,3♥,K♣
2♦,4,K♥,3♥,6♣,J♦,Q♥,4♠,K♠,10♥,8♦,A♣,Q♣,2♠
2♦,5,J♣,9♣,4♥,K♠,7♣,2♥,J♠,10♦,J♦,9♦,10♦,6♠
2♦,6,2♥,6♣,K♥,K♦,3♣,Q♠,9♣,8♠,8♣,4♦,Q♠,9♠
2♦,7,9♠,7♠,K♦,8♦,6♦,8♣,5♥,2♠,J♦,3♦,8♦,K♥
2♦,8,10♦,6♥,10♥,5♦,Q♣,K♣,8♦,9♣,3♥,4♦,7♣,2♣
2♦,9,6♣,9♥,5♦,J♥,5♣,3♥,A♣,4♠,A♥,2♠,J♠,A♠
2♦,10,7♦,3♣,J♥,4♣,Q♣,2♥,3♥,7♣,K♣,A♠,10♣,7♥
2♦,11,10♣,Q♠,4♣,5♠,J♦,K♠,Q♥,K♠,2♥,9♣,4♠,8♥
2♦,12,Q♣,J♠,5♦,5♣,8♥,7♣,A♦,Q♣,4♠,8♦,4♥,7♠
2♦,13,9♠,K♥,10♠,4♦,8♣,9♦,5♣,2♥,7♠,J♦,10♠,K♦
2♦,14,3♣,9♥,4♦,6♣,10♥,7♠,8♠,Q♣,A♥,Q♠,Q♥,3♣
2♦,15,5♠,8♥,6♣,3♥,8♦,4♥,7♠,3♥,3♦,2♣,9♣,5♦
2♦,16,Q♣,7♣,10♠,8♥,Q♦,K♥,4♥,5♦,10♦,9♣,6♦,9♦
2♦,17,6♠,3♥,8♥,7♦,4♣,A♥,5♥,4♣,A♠,A♦,3♠,Q♦
2♦,18,J♠,7♣,7♦,9♠,J♥,7♠,4♥,7♠,2♥,4♠,J♦,3♦
2♦,19,6♣,J♣,Q♦,8♣,7♥,5♦,9♠,J♣,5♣,3♠,J♣,6♥
2♦,20,10♥,9♦,8♣,A♠,3♣,6♠,4♣,9♥,J♦,4♦,10♥,4♣
2♦,21,3♥,4♥,4♠,9♥,K♣,J♥,A♠,5♠,9♣,A♣,5♠,5♣
2♦,22,7♣,9♠,9♥,5♦,8♦,Q♦,2♠,9♣,Q♠,10♣,4♦,5♥
2♦,23,J♣,4♥,4♦,J♦,2♣,7♠,5♦,4♣,K♠,6♥,5♥,4♦
2♦,24,J♥,9♠,J♦,2♥,3♠,4♠,10♦,6♣,Q♣,5♣,5♣,5♠
2♦,25,5♦,5♥,3♦,6♥,7♣,3♥,4♠,2♣,K♣,7♦,4♣,10♥
2♦,26,10♣,Q♥,J♦,5♥,6♣,K♥,3♥,A♥,4♦,9♣,6♥,J♣
2♦,27,9♠,Q♣,5♥,6♦,6♥,4♦,2♠,8♠,2♣,8♥,3♦,J♦
2♦,28,9♥,A♠,10♠,8♥,A♥,4♥,6♦,K♥,10♥,4♣,Q♦,3♠
2♦,29,6♠,Q♣,8♥,3♦,3♣,5♦,4♥,3♥,8♦,9♣,9♦,6♦
2♦,30,5♣,2♥,5♥,3♠,4♠,10♣,5♦,6♣,9♠,8♣,5♦,9♣
2♦,31,2♠,K♥,K♠,8♥,2♥,7♥,6♣,J♦,10♣,10♠,3♣,Q♥
2♦,32,4♠,Q♥,5♥,4♦,7♦,7♣,J♥,Q♥,A♥,6♥,K♦,10♠
2♦,33,10♣,9♦,4♦,K♦,Q♦,A♥,8♠,4♠,6♠,K♠,7♠,4♥
2♦,34,J♠,9♠,K♦,A♠,7♥,3♠,4♥,K♠,10♥,Q♠,8♥,4♠
2♦,35,K♣,K♠,K♥,2♥,9♠,3♥,Q♥,J♣,3♠,6♥,7♥,10♣
2♦,36,8♣,8♦,A♥,4♠,2♠,8♥,K♥,9♣,2♣,J♣,A♠,J♠
2♦,37,4♦,8♠,4♠,5♠,4♣,9♦,8♥,4♥,10♣,Q♣,2♣,7♣
2♦,38,K♠,2♠,A♣,K♣,Q♠,3♠,10♥,K♠,9♦,Q♦,K♥,8♦
2♦,39,10♠,5♥,3♦,3♣,A♠,4♥,Q♠,7♣,6♦,7♥,9♠,Q♠
2♦,40,K♥,K♣,2♠,5♥,J♦,6♥,4♥,2♥,9♥,3♥,6♠,10♦
2♦,41,J♠,10♥,5♥,K♦,3♣,9♥,3♠,J♠,J♥,4♠,2♠,Q♣
2♦,42,A♣,A♦,10♣,5♠,5♣,7♠,K♦,2♥,7♦,J♦,K♣,3♥
2♦,43,6♣,6♥,5♠,9♦,9♣,7♦,Q♠,6♣,Q♦,Q♣,8♠,A♥
2♦,44,3♦,4♦,5♦,6♦,9♥,8♦,9♦,K♥,10♦,J♦,6♣,A♦
2♦,45,J♠,8♣,6♦,4♠,10♥,10♦,8♠,K♦,A♥,A♦,2♦,2♦
2♦,46,2♠,9♣,4♠,7♣,K♠,Q♣,A♣,3♣,10♦,Q♥,A♦,6♣
2♦,47,Q♣,3♥,5♦,4♣,7♠,J♣,7♦,Q♠,10♣,K♦,A♥,8♠
2♦,48,5♠,9♣,4♣,6♣,2♣,A♥,8♠,9♣,3♠,10♠,3♥,K♣
2♦,49,K♥,3♥,6♣,J♦,Q♥,4♠,K♠,9♠,8♦,2♥,Q♣,2♠
2♦,50,J♣,9♣,4♥,K♠,7♣,A♣,J♠,7♠,J♦,9♦,10♦,6♠
2♦,51,A♣,6♣,K♥,K♦,3♣,Q♠,9♣,K♦,8♣,4♦,Q♠,9♠
2♦,52,9♠,7♠,K♦,8♦,6♦,8♣,5♥,8♦,J♦,3♦,8♦,K♥
2♦,53,10♦,6♥,10♥,5♦,Q♣,K♣,8♦,6♦,3♥,4♦,7♣,2♣
2♦,54,6♣,7♦,5♦,J♥,5♣,3♥,2♥,8♣,A♥,2♠,J♠,A♠
2♦,55,9♥,3♣,J♥,4♣,Q♣,A♣,3♥,5♥,K♣,A♠,10♣,7♥
2♦,56,10♣,Q♠,4♣,5♠,J♦,K♠,Q♥,10♦,A♣,9♣,4♠,8♥
2♦,57,Q♣,J♠,5♦,5♣,8♥,7♣,A♦,6♥,4♠,8♦,4♥,7♠
2♦,58,9♠,K♥,10♠,4♦,8♣,9♦,5♣,10♥,7♠,J♦,10♠,K♦
2♦,59,3♣,7♦,4♦,6♣,10♥,7♠,8♠,5♦,A♥,Q♠,Q♥,3♣
2♦,60,5♠,8♥,6♣,3♥,8♦,4♥,7♠,Q♣,3♦,2♣,9♣,5♦
2♦,61,Q♣,7♣,10♠,8♥,Q♦,K♥,4♥,K♣,10♦,9♣,6♦,9♦
2♦,62,6♠,3♥,8♥,9♥,4♣,A♥,5♥,8♦,A♠,A♦,3♠,Q♦
2♦,63,J♠,7♣,9♥,9♠,J♥,7♠,4♥,6♣,A♣,4♠,J♦,3♦
2♦,64,6♣,J♣,Q♦,8♣,7♥,5♦,9♠,9♥,5♣,3♠,J♣,6♥
2♦,65,10♥,9♦,8♣,A♠,3♣,6♠,4♣,5♦,J♦,4♦,10♥,4♣
2♦,66,3♥,4♥,4♠,7♦,K♣,J♥,A♠,J♥,9♣,2♥,5♠,5♣
2♦,67,7♣,9♠,7♦,5♦,8♦,Q♦,2♠,5♣,Q♠,10♣,4♦,5♥
2♦,68,J♣,4♥,4♦,J♦,2♣,7♠,5♦,3♥,K♠,6♥,5♥,4♦
2♦,69,J♥,9♠,J♦,A♣,3♠,4♠,10♦,A♣,Q♣,5♣,5♣,5♠
2♦,70,5♦,5♥,3♦,6♥,7♣,3♥,4♠,7♦,K♣,9♥,4♣,10♥
2♦,71,10♣,Q♥,J♦,5♥,6♣,K♥,3♥,3♣,4♦,9♣,6♥,J♣
2♦,72,9♠,Q♣,5♥,6♦,6♥,4♦,2♠,J♥,2♣,8♥,3♦,J♦
2♦,73,7♦,A♠,10♠,8♥,A♥,4♥,6♦,4♣,10♥,4♣,Q♦,3♠
2♦,74,6♠,Q♣,8♥,3♦,3♣,5♦,4♥,Q♣,8♦,9♣,9♦,6♦
2♦,75,5♣,A♣,5♥,3♠,4♠,10♣,5♦,2♥,9♠,8♣,5♦,9♣
